,title,text,uuid
13,How do I get a copy of my credit reports?,"You are entitled to a free credit report every 12 months from each of the three major consumer reporting companies (Equifax, Experian and TransUnion). You can request a copy from AnnualCreditReport.com.",J4XX2AQ5PyNzBpnf6hSGqf
14,"If I can't pay my mortgage loan, what are my options?","If you can’t pay your mortgage or are worried about missing a mortgage payment, call your mortgage servicer right away. You should also contact a HUD-approved housing counselor to get free, expert assistance on avoiding foreclosure.",NopaksNSyzWJdDfqjujBGc
15,What happens if I still owe money on the vehicle I want to trade-in?,"If you still have a loan for the vehicle you plan to trade in, there are steps you should take to carefully consider whether to take on new debt for another vehicle before you have paid off your old vehicle.",5Nj6eUWRmXinAqhxbpE8Jf
16,What's the difference between a simple interest rate and precomputed interest in an auto loan contract?,Simple interest and precomputed interest are different ways to calculate your interest due.,3CjjtfWbE7vcd8yxdHox45
17,How can I recognize mail fraud?,"While the specific scams change everyday, a common warning sign is a letter asking you to send money or personal information now to receive something of value later.",HJUCEdgTuYwYbYian4ghAq
18,What is mortgage forbearance?,Forbearance is when your mortgage servicer or lender allows you to temporarily pay your mortgage at a lower payment or pause paying your mortgage. You will have to pay the payment reduction or the paused payments back later.,frquNu5VEvcEHiUtmmKbFT
19,What is a mortgage loan modification?,A mortgage loan modification is a change in your loan terms. The modification is a type of loss mitigation.,PdumatQHwMc89wrizUvEjL
20,I can’t make my mortgage payments. How long will it take before I’ll face foreclosure?,"The legal foreclosure process generally can’t start during the first 120 days after you’re behind on your mortgage. After that, once your servicer begins the legal process, the amount of time you have until an actual foreclosure sale varies by state.",8ZRHNo5RaAqdxztxqUaRP5
21,Does my mortgage servicer have to help me avoid foreclosure?,Many mortgage servicers have to work with you to see if you qualify for ways to avoid foreclosure. Your servicer may refer to this as loss mitigation.,U4qBb5nTnrvXKtzTjRcqbX
22,I applied for a home mortgage loan. What can I do if I think a lender discriminated against me?,"If you think you’ve been discriminated against by a lender or creditor, check for your local state protections. You can also submit a complaint with the CFPB.",T4BLrnbKfkkVXKgX5uxwLm
23,What are mortgage loan modification scams?,Mortgage loan modification scams are schemes to take your money – often by making a false promise of saving you from foreclosure.,doKuGqEPBh3MjwJaBSwGek
24,What is a payoff amount? Is my payoff amount the same as my current balance?,Your payoff amount is how much you will actually have to pay to satisfy the terms of your mortgage loan and completely pay off your debt. Your payoff amount is different from your current balance.,Kw7sgdHew7CHduoEELbdKg
25,How do I dispute an error on my credit report?,"To dispute an error on your credit report, contact both the credit reporting company and the company that provided the information.",KmwCRaGTKL9G9bf49E5TnT
26,How do I stop automatic payments from my bank account?,"Federal law provides certain protections for recurring automatic debit payments. You have the right to stop a company from taking automatic payments from your account, even if you previously allowed them. For example, you may decide to cancel your membership or service with the company, or you might decide to pay a different way.",2oVsBQqjqeGfFmhPxLNJgV
27,How can I stop a payday lender from electronically taking money out of my bank or credit union account?,"You can stop electronic debits to your account by revoking the payment authorization, sometimes called an “ACH authorization.""",n75AbHp6KuAqXpEw6bmimA
28,What is the best way to negotiate a settlement with a debt collector?,"Before negotiating a settlement with a debt collector, learn about the debt and plan for making a realistic proposal.",8eSBHfGBWNQpd2qXnWccHM
29,"I received an unexpected pre-approved offer, or live check loan, in the mail. What happens if I cash or deposit it?","A live check is actually an unsolicited loan offer. It is usually sent in the mail, and if you cash or deposit the check you are bound by its loan terms, which may include high interest rates for multiple years. Before cashing or depositing a live check, you should make sure you understand the terms, and shop around for other loan options to see if you can find a better rate.",3qdxsqeqEW8NGzgvnEU95E
30,What should I do if there is an error on a minor child’s credit report or evidence of identity theft?,"If your child legitimately has a credit report and you find an error, you should dispute the error.",i7vCaF2yz8TzjuCRDCFY3q
31,Where can I get my credit score?,"There are a few main ways to get your credit score, including from a credit card or other loan statement, a non-profit counselor, or for a fee from a credit reporting agency.",NWyaHhuBakRQNKnwphmJyP
32,Do I have to pay for someone to help me modify my mortgage?,You do not need to pay someone large sums of money to help you modify your mortgage. People who charge a lot of money in advance of any result may be violating the law.,LNPupwaCuu8Ro9kYnn7DpY
33,"What should I know before I shop for auto loan at a bank, credit union, dealership, or other lender?",You may want to consider the following in order to shop for the best loan for your budget.,WEiz7aEWoJtPrrbecDQ2CS
34,"If I can’t make my auto loan payments, will my vehicle be repossessed?","If you are late on your payments, a lender may repossess your vehicle.",4bMJCVYav2Ux8BqZFWXT4j
35,"My payment was due on a Sunday and I understood that meant I had until the next business day (Monday) to pay. I went online to my card issuer's website and made a payment on Monday, but I was charged a late fee. Can they do that?","Yes. If your payment is due on a day on which mail is not delivered (such as a Sunday) and you mail your payment, you cannot be charged a late fee if your payment arrives on the next business day.",8rRp2piPG7HkW4jLgeALQv
36,What can I do if I disagree with the results of a credit report dispute?,"If an investigation doesn’t resolve your dispute with the credit reporting company, you can ask that a brief statement of the dispute be included in your file and included or summarized in future reports.",F2hWX52LQpzSaKKsaQBDLa
37,"I am getting a mortgage loan and I have heard the term ""TRID."" What does ""TRID"" mean?","""TRID"" is an acronym that some people use to refer to the TILA RESPA Integrated Disclosure rule.",iRYoJxHjx8gPXUif3AWLTt
38,Where can a member of the military or a spouse/dependent of a servicemember go for emergency funding or financial assistance?,"Military Aid Societies (Army Emergency Relief, Navy-Marine Corps Relief Society, the Air Force Aid Society, and Coast Guard Mutual Assistance) provide grants and no-interest loans to certain servicemembers in need of essentials such as rent, food, utilities, and vehicle repair and replacement.",nJWchquP3quhxErzupM8WZ
39,I need to send a specific amount of money to another country. How can I be sure the right amount arrives?,"Ask the business that’s sending the money for you how much will be received abroad. Before you pay for a transfer, the businees is required to make certain disclosures including the exchange rate and fees.",XUP72qwMVixVRXPaR3RWh6
40,How do I dispute an error on my checking account consumer report?,"To dispute inaccurate information on your checking account consumer report, you should file a dispute with the checking account reporting company that compiled the report.",RKMvSXqzevSmVpaV9dzn3M
41,How long does information about me stay on my consumer report?,"Consumer reporting agencies are required by law to remove most negative information about your account after seven years, which generally means that if you find an item in their report that is older than seven years you should dispute that information.",X6H6baRZvau5JD7TSewinG
42,What is a VA loan?,"The Department of Veterans Affairs (VA) offers loan programs to help servicemembers, veterans, and their families buy homes.",Nhrpfq7GLx5EskPuPPb2Bf
43,I’ve been looking for a job. What do employers see when they do credit checks and background checks?,"Hundreds of companies provide employment background checks and qualify as consumer reporting agencies.  Employment reports often include credit checks, criminal background checks, public records–such as bankruptcy filings and other court documents–and information related to your employment history.",b9cbKbxfBnC3D6SjRWnGrz
44,What are appraisals and why do I need to look at them?,An appraisal is a written document that shows an opinion of how much a property is worth.,gTmrLP3P96wg8jqnjFnZ8S
45,"With an adjustable-rate mortgage (ARM), what are rate caps and how do they work?",Adjustable-rate mortgages (ARMs) typically include several kinds of caps that control how your interest rate can adjust.,PuLMEEDnGECZyUFt66nHyj
46,How can I verify whether or not a debt collector is legitimate?,"Ask the caller for their name, company, street address, telephone number, and if your state licenses debt collectors, a professional license number. You can also refuse to discuss any debt until you get a written ""validation notice."" Do not give personal or financial information to the caller until you have confirmed it is a legitimate debt collector.",CsikaCPy3b3wv2yj6ACg2X
47,What is a debt-to-income ratio? Why is the 43% debt-to-income ratio important?,Your debt-to-income ratio is all your monthly debt payments divided by your gross monthly income. This number is one way lenders measure your ability to manage the monthly payments to repay the money you plan to borrow.,8JaCHvDwYwfHpXwji8HK7L
48,"For an adjustable-rate mortgage (ARM), what are the index and margin, and how do they work?","For an adjustable-rate mortgage, the index is a benchmark interest rate that reflects general market conditions and the margin is a number set by your lender when you apply for your loan. The index and margin are added together to become your interest rate when your initial rate expires.",5Ti7DqMVQFGk5MrwhJT7nx
49,What is a loan-to-value ratio and how does it relate to my costs?,"The loan-to-value (LTV) ratio is a measure comparing the amount of your mortgage with the appraised value of the property. The higher your down payment, the lower your LTV ratio.",HfA9KbKion2PAHPHipdVx2
50,What is the difference between a mortgage interest rate and an APR?,"An
annual percentage rate (APR) reflects the mortgage interest rate plus other
charges.",dP7oaLEptqoQU4VFTSANtd
51,What are mortgage origination services? What is an origination fee?,"An origination fee is what the lender charges the borrower for making the mortgage loan. The origination fee may include processing the application, underwriting and funding the loan, and other administrative services. Origination fees generally can only increase under certain circumstances.",Li3vi8y5MnnXUFq5BEqWGW
52,What happens to my reverse mortgage when I die?,Reverse mortgage loans typically must be repaid when you die.,M6mmaM4iT39nFLrwgL9XcX
53,What should I do if my prepaid card or PIN is lost or stolen or I see unauthorized charges?,Contact the card provider right away if your card or your PIN is lost or stolen or if you see unauthorized charges.,dPTCqnobrqNNfDC4FuK6uW
54,What is a reverse mortgage?,"A Home Equity Conversion Mortgage (HECM), the most common type of reverse mortgage, is a special type of home loan only for homeowners who are 62 and older.",ceTpCxiW44WCcz5sMbNCHf
55,What happens if my reverse mortgage loan balance grows larger than the value of my home?,"If your loan balance is more than the value of your home, you or your heirs may not have to pay the difference.",Juu9TYDv7z9cxKKiFsZSrG
56,"How much money can I get with a reverse mortgage loan, and what are my payment options?","How much you can borrow depends on your age, the interest rate you get on your loan, and the value of your home.  You have three main options for receiving your money: through a line of credit, monthly payout, or lump sum payout.",T9FcKbnMHPfxhDJ3KpMBRV
57,Should I use a reverse mortgage to consolidate my debts?,"Using a reverse mortgage loan to consolidate debt  can be risky because if you fail to meet your obligations with a reverse mortgage loan, you may lose your home to foreclosure.",9uQkQU7gXPmP2F9qqauGJU
58,What are my responsibilities as a reverse mortgage loan borrower?,"There are several requirements that HECM reverse mortgage borrowers must follow. If you don’t meet these requirements, you could lose your home to foreclosure.",5u7ED7haJ3brcxZAbskcZU
59,Can anyone take out a reverse mortgage loan?,"No. Home Equity Conversion Mortgages (HECMs), the most common type of reverse mortgage loan, are a special type of home loan only for homeowners who are 62 and older.",BaaNXnEhNokBvJMREAJmG9
60,The bank/credit union said I overdrew my account several times in one day and charged me a fee for each overdraft. What should I do?,"You can reduce your overdraft fees by monitoring your account balance, opting out of debit card overdraft, and setting up a linked savings or credit account to cover overdrafts.",QXB4WG7DWrNhVdLEkDVgwM
61,I overdrew my account by only one penny yet was charged the full overdraft fee. What can I do about this?,"Some banks and credit unions will let you overdraft your account by a small amount without a fee, so check with your bank or credit union to determine its policy.",3eVPkVBRSmg52huaPpp7Pq
62,Can I be charged more than one fee for a single overdraft?,You should check your account documents to see how long you have to repay overdrafts before you are charged additional fees.,gn6wgiiZ5stsZSmjBkgwwU
63,Can I withdraw money from my Military Savings Deposit Program (SDP) while I am in the combat zone?,"Once your account reaches a $10,000 balance, you may withdraw funds over $10,000 on a quarterly basis.",SoA9HUeTNiRbpgBWPZwwaA
64,How do I avoid ATM fees?,"Generally, you can avoid ATM fees by using your own bank or credit union’s ATMs because most banks and credit unions don't charge a fee for this service.",E5mNuqbUAkKPKDfU23F7WA
65,How many overdrafts can I get in a single day?,Some banks and credit unions have their own maximum per day; check with your bank or credit union to see what its policies are.,LbvXcD4bU9jqZ3QEmtPNAT
66,"If I have a reverse mortgage loan, will my children or heirs be able to keep my home after I die?",It depends. If you have a Home Equity Conversion Mortgage (HECM) your heirs will have to repay either the full loan balance or 95% of the home’s appraised value–whichever is less.,YavFx3vwXZyFTL5t3EeJCJ
67,"What happens if I have a reverse mortgage and I have to move out of my home, such as moving into a nursing home or to live with family?",Reverse mortgage loans typically must be repaid either when you move out of the home or when you die.,KzwTscE3EYrU6MYKQyHvGD
68,What are some common types of scams?,Scammers are constantly finding new ways to steal your money. You can protect yourself by knowing what to look out for.,FBxqJecVBRjCRkqwJQrwXc
69,"Should I share my personal information, including birth date and Social Security number, with a debt collector?","You are not required to give out your personal information to
anyone. You will always want to take steps to make sure you are not giving out
your personal information to debt collection or identity theft scammers.
Generally, legitimate debt collectors will ask questions to verify your
identity.",9ZyUFusxVBjmXSnnfUV8xL
70,Should I talk to a debt collector?,"If a debt collector contacts
you, you might want to speak with them even if you don’t owe the debt or can’t
pay right now. The debt collector can help you understand if the debt is your responsibility
and explain your options. You can also ask questions.",eWNASJ3CV8YsazbRpHTMvA
71,How do I get my money back after I discovered an unauthorized transaction or money missing from my bank account?,Contact your bank or credit union immediately if you suspect an unauthorized transaction from your bank account,Mrsddco9pYyKV5BtmEFiWv
72,I wrote a check to someone but it was stolen. The thief forged the indorsement on the check and then cashed it. My bank/credit union deducted the money from my account. What can I do?,Contact your bank or credit union right away. State law generally provides that you are not responsible for a check if someone forged the signature of the person to whom you made out the check.,gHsGVXWeubvd9ceXmWqgZy
73,Do I have to put up something as collateral for a payday loan?,"You don’t have to give collateral like at a pawn shop, but you generally do have to provide a post-dated check or electronic access to your bank, credit union, or prepaid card account.",c3UxsXDQUrrZgHXCyeKup6
74,What is a payday loan?,"While there is no set definition of a payday loan, it is usually a short-term, high cost loan, generally for $500 or less, that is typically due on your next payday. Depending on your state law, payday loans may be available through storefront payday lenders or online.",ius8qBQ9cxuRV2CRnJh75r
75,Are there different types of reverse mortgages?,Yes. There are several kinds of reverse mortgage loans: (1) those insured by the Federal Housing Administration (FHA); (2) proprietary reverse mortgage loans that are not FHA-insured; and (3) single-purpose reverse mortgage loans offered by state and local governments.,MJ9GpCZmYStgo4KKzXDzo3
76,"What do I do if my house was damaged, destroyed, or I’m unable to make my payment after a disaster?","After a disaster you still have
to pay your mortgage. Start by contacting your insurance company and mortgage
servicer and if necessary, seek help.",6LLYht6zxkgn9XCwtUfNqH
77,How do I avoid scams and fraud after a disaster?,"To avoid scams ask questions, verify the identity of
anyone trying to sell you something or asking for money, and make sure written
contracts match the verbal promises that were made.",PC3d7nPHXAqYsw6DigRACM
78,How much will a reverse mortgage loan cost?,"The cost of a reverse
mortgage loan will depend on the type of loan and the lender you choose. Typically, a reverse mortgage loan is more
expensive than other home loans.",kB6CU2H9h7DAXHTRknQ4rg
79,How can I tell who owns my mortgage?,"You can look up who owns your mortgage online, call, or
send a written request to your servicer asking who owns your mortgage. The
servicer has an obligation to provide you, to the best of its knowledge, the
name, address, and telephone number of who owns your loan.",kdFKxUeCUX5gPPcpyqTiqE
80,How can I find and work with contractors to rebuild after a disaster?,"Do some research
and get several bids when choosing contractors to work with to rebuild your
home. After a disaster, scammers may try to take advantage of you, so be alert.",ay3MhUJzeo7Ec24Hm2zKTr
81,What should I do after a disaster to protect my finances and property?,"After a disaster, your first priority is your safety and meeting your day-to-day needs. There are organizations to reach out to right away, after that focus on the bills you have to pay first.",oQRVVCuoXw5tnSo4ZtJshb
82,Can I use a reverse mortgage loan to buy a home?,Yes. There is a “Home Equity Conversion Mortgage (HECM) for Purchase” loan that allows people 62 and older to purchase a new principal residence with HECM loan proceeds.,QeiyvSaUCbzDvBMqPx6HFh
83,What should I do if I have a reverse mortgage loan and I received a notice of default or foreclosure?,"Act
quickly. If you delay or ignore the notice, you could lose your home to
foreclosure.",9vU9Mnonnn8hv3BSCp29jr
84,What should I do if I have a reverse mortgage loan and I can’t pay my property taxes or homeowners insurance?,"If you can’t pay your property taxes or homeowners insurance, look for help right away. Home Equity Conversion Mortgages (HECMs), the most common type of reverse mortgage loan, require that you keep current on your property taxes and homeowners insurance. Failure to pay either may lead to foreclosure.",o7kobFSMkvhGgsYUS9VGEy
85,What should I think about before applying for a reverse mortgage loan and what should I ask a reverse mortgage counselor?,"If you are considering a reverse mortgage loan, start by understanding how one works and how it will affect you now and in the future.",nKx5hnKRDhrAA83jVHYnea
86,When do I have to pay back a reverse mortgage loan?,"Reverse mortgage loans typically must be repaid either when you move out of the home or when you die. However, the loan may need to be paid back sooner if the home is no longer your principal residence, you fail to pay your property taxes or homeowners insurance, or do not keep the home in good repair.",N6WxALbMPFUyL5D6c2B6yb
87,What happens if I have a reverse mortgage and I want to sell my home?,When you sell your home your reverse mortgage loan will need to be paid back.,ibhXcLbX3YptYCtrR35rBs
88,How do I check my prepaid card balance?,There may be several ways to check your prepaid card account balance. Your cardholder agreement may tell you how to check your balance and whether there is a fee to use a particular method to check your balance.,QSgYd8MADCxUzmfmxPG39n
89,"If my prepaid card expires, do I lose my money?","In some cases, when your prepaid card expires, you might have to pay a fee so that you do not lose your money. Check your cardholder agreement to see if there are actions you need to take to prevent this loss.",KaFarvgaSKN5nwRRERLQoX
90,My home is underwater and I received a Permanent Change of Station (PCS) Order. Is there assistance to help me sell my home without owing money after the sale?,"If your home is underwater and you have received PCS orders, you may be able to sell your home and not have to pay back the rest of your loan balance.",d7iNRh9hcQfzUjwffswdba
91,What is a jumbo loan?,"Each year Fannie Mae, Freddie Mac, and their regulator, the Federal Housing Finance Agency (FHFA), set a maximum amount for loans that they will buy from lenders.",nknMpywUHadcghr4rjjBMq
92,How can I find the loan limit for a conforming loan in my county?,You can check the loan limit for a conforming mortgage loan in your county on the Department of Housing and Urban Development (HUD)’s website.,YmirxzipDH6K2yUsADwkTM
93,What should I do if I find an error in one of my mortgage closing documents?,"If you find an error in one of your mortgage closing documents, contact your lender or settlement agent to have the error corrected immediately.",MCU3kpVX6e6cWz5m6ajiUJ
94,"My kids are leaving the nest and starting their careers, what should I tell them about saving and investing?","As young adults enter into their careers, talk to them about starting to save early for retirement and the importance of preparing for financial emergencies.",iQsGLNv9FrZK9b8NgUsgDE
95,"I’m about to close on a mortgage. What should I do before, during, and after the mortgage closing?",Make sure you’re prepared for each step of the closing.,NXsSkvEW22qshVGMGE64Zt
96,What are the different ways to pay for college or graduate school?,"You should exhaust scholarships, grants, and federal student loans before taking out a private student loan.",CNtqAkKfJ6hbt4aPi7ESg8
97,What is private mortgage insurance?,"Private mortgage insurance, also called PMI, is a type of mortgage insurance you might be required to pay for if you have a conventional loan. Like other kinds of mortgage insurance, PMI protects the lender—not you—if you stop making payments on your loan.",eCrrhmmVxbi9DMh3SyCbtU
98,What is negative amortization?,"Amortization means paying off a loan with regular payments, so that the amount you owe goes down with each payment. Negative amortization means that even when you pay, the amount you owe will still go up because you are not paying enough to cover the interest.",VW4EBUyKXtxxChUU9MfsDK
99,Can I be responsible to pay off the debts of my deceased spouse?,"In most cases you will not be responsible to pay off your deceased spouse's debts. As a general rule, no one else is obligated to pay the debt of a person who has died. There are some exceptions and the exceptions vary by state.",Bcp5dYQ9NsSRX9taAAgsQS
100,What is an option or payment-option ARM?,An option or payment-option ARM is an adjustable rate mortgage with several possible payment choices.,NEZEJ4tqTBWqmoZ8hjrrkz
101,What do I do if I think I have been a victim of identity theft?,"If you think you've been a victim of fraud or identity theft, contact one of the nationwide credit reporting companies and place a fraud alert in your credit report.",4rUJaCr7GCPLYdusjfeRkB
102,I owe more on my current loan than my current vehicle is worth. What do I need to know if I buy a new vehicle?,"If you are considering rolling the balance of the old auto loan into your new auto loan, make sure you understand how this will affect the total cost of your new loan.",YYkuaAzNFUdqqy893dsAk6
103,What should I do if I was harmed by a company with which the CFPB has announced a settlement?,"Generally, if the settlement requires consumers to receive payments as a result of the CFPB’s action, either the company or the CFPB (or a third-party administrator working for the CFPB) will make payments directly to those consumers.",X7dS4ccp5DWdawPPiPayFK
104,What happens if I don’t make the payments on my auto lease?,"If you miss payments, the dealership or finance company you lease your vehicle from, known as the “lessor,” may be entitled to repossess the vehicle.",Q5oynF83ykEDD3yyYdg3wk
105,"I asked a company to transfer money to another country, but it didn't give me information about the fees and exchange rates. Why?","Not all companies that send money to other countries qualify as remittance transfer providers, and may not have to provide fee and exchange rate information.",mcouzoVZqC2QJ6joerjPzL
106,What is a FICO score?,A FICO® score is a particular brand of credit score.,9vVpmyeEGYPaUqaa86Z5rx
107,What is a power of attorney (POA)?,A power of attorney is a legal document that allows someone else to act on your behalf.,mhdcssVPMTLcLWTGSk3NhB
108,"If I am considering an adjustable-rate mortgage (ARM), what should I look out for in the fine print?","If you are considering an ARM, make sure to read the terms carefully and ask lots of questions until you understand exactly how each of these features of the mortgage works.",fez6bXrpDB2AznUYyrzR7a
109,How can I reduce the costs of my checking account?,You can reduce the cost of using your checking account by taking the following steps:,KXB5TpYDStL77E4bbarLxg
110,When can I be denied a checking account based on my past banking history?,"If a bank or credit union denied your application for a
checking account, it may be because a checking account reporting company has
negative information in its files about your checking history.",Xn3unCwVMRnZRHXkCSC8cn
111,"What is a second mortgage loan or ""junior-lien""?",A second mortgage or junior-lien is a loan you take out using your house as collateral while you still have another loan secured by your house.,6urrYFyuef6iziSJwNTvhS
112,What does it mean to renew or roll over a payday loan?,"Generally, renewing or rolling over a payday loan means you pay a fee to delay paying back the loan. This fee does not reduce the amount you owe. You will still owe the principal and fees for the rollover.",Kk64rRQyxQePPav2mGAEHh
113,My mortgage lender told me it was exempt from mortgage servicing rules. Is this true?,Maybe. Your lender could be exempt from certain mortgage servicing rules if it is a “small servicer.”,mwvfqRBUZVQxyVNEexMYsS
114,What is a remittance transfer?,Federal law defines “remittance transfers” to include most electronic money transfers from consumers in the United States through “remittance transfer providers” to recipients abroad.,bggAzm2wGXy3hpipcNM3L6
115,What is the difference between fixed- and variable-rate auto financing?,"Fixed-rate financing means the interest rate on your loan does not change over the life of your loan. Variable-rate financing is where the interest rate on your loan can change, based on the prime rate or another rate called an “index.”",4dLG7p4uGxcrBPw3i9sQ6T
116,What effect will shopping for an auto loan have on my credit?,Shopping for the best deal on an auto loan will generally have little to no impact on your credit score(s). The benefit of shopping will far outweigh any impact on your credit.,7TUER2miynHWpQkQHgzNHi
117,What is the best way to move my checking account to another bank or credit union?,"When moving your checking account to a new bank or credit union, open the new account first and update any automatic transactions, direct deposit, or payment paperwork.",Q6eztWcFsL8AxR6erUZGy9
118,What is risk-based pricing?,"Risk-based pricing occurs when lenders offer different consumers different interest rates or other loan terms, based on the estimated risk that the consumers will fail to pay back their loans.",mtCg2RwKYGkqTHUinikTvu
119,How do I stop payment on a check?,Contact your bank or credit union right away if you want to stop payment on a check. Your bank or credit union may charge you a fee when you request to stop payment on a check.,7xuyS6giRy2gbsnpam8PTf
120,How does a lender decide what interest rate to offer me on an auto loan?,An auto lender will typically consider several main factors.,2e6kRMQFzWBKot7ntnkAHq
121,"The bank/credit union is charging high service, activity, maintenance, or other fees on my checking account. Can the bank/credit union do this?","Yes, but your bank or credit union must disclose any fees associated with a deposit account (like a checking account) when you open the account.",SMSMv2b7zbXjqdssSPfjAj
122,What is a Manufacturer Suggested Retail Price (MSRP)?,The Manufacturer Suggested Retail Price (MSRP) is the price that the automaker – the manufacturer – suggests that the dealer ask for the vehicle.,68aBVtSQVEtPioRk5tqLVn
123,What is a buy rate for an auto loan?,A buy rate is the interest rate that a potential lender quotes to your dealer when you apply for dealer-arranged financing.,nYB7Uzt8UsKycTyfT8eefn
124,Where can I get information on auto loan rates?,"You can shop for auto loans at individual banks, credit unions, or other lenders. You can also get information online at many commercial sites which may give you an estimate of interest rates nationwide and by your zip code.",f3fr3fX2dsXBrYBXWYBn5m
125,Can the bank/credit union put a new fee on my checking account?,"Yes, except that in most cases, your bank or credit union must give you at least 30 days’ notice before adding a new fee or increasing an existing fee.",5PwdDFpaPGZySKjyaYg4gY
126,What is an extended warranty or vehicle service contract?,An extended warranty or vehicle service contract covers the costs of some types of repairs in addition to or after the manufacturer’s warranty ends.,7qyrqnCJbzULQKtsPKtRC3
127,What is Vendor's Single Interest (VSI) insurance?,"VSI insurance protects the lender, but not you, in the event that the vehicle is damaged or destroyed.",dLyYb98wGfBBpYYEzgAASk
128,What is the difference between an interest rate and the Annual Percentage Rate (APR) in an auto loan?,"An auto loan’s interest rate is the cost you pay each year to borrow money expressed as a percentage. The interest rate does not include fees charged for the loan.The Annual Percentage Rate (APR) is the cost you pay each year to borrow money, including fees, expressed as a percentage.",6DuoKzkmQXWb2cwho7ZVZm
129,What is mandatory binding arbitration?,"By signing a contract with a mandatory binding arbitration provision, you agree to resolve any disputes about the contract before an arbitrator who decides the dispute instead of a court. You also may agree to waive other rights, such as your ability to appeal a decision or to join a class action lawsuit.",duWyuNqjdy2R9vnA9Eutz8
130,What is the difference between dealer-arranged and bank financing?,"With dealer-arranged financing, the dealer collects information from you and forwards that information to one or more prospective auto lenders. Alternatively, with bank or other lender financing, you go directly to a bank, credit union, or other lender, and apply for a loan.",JEPsyB2Nmy53XVAtQzANDo
131,What does the base price of a vehicle mean?,The base price is the price of the vehicle without options.,nMVuxAowfQqAB8AseSFdix
132,How should I decide how much I can afford to borrow for an auto loan?,Figuring out how much you can afford to borrow before you sign on the dotted line is a great way to stay in control of your finances. It can be very helpful to break the process down into several steps.,42RC8nMYG2s5xRjNaPL3jG
133,How do I compare auto loan offers? What should I look at besides the monthly payment?,"When comparing auto loan offers to determine the best deal, focus on the annual percentage rate (APR), the interest rate and the length of the loan—and not just the monthly payment. If you don’t get the best deal available to you on the interest rate, you could end up paying significant additional interest amounts over the life of the loan.",fuSkJ7B4cQU8QxSpkn7bCZ
134,What is a co-signer?,A co-signer is another person who also takes full responsibility to pay back the loan.,WXjDRNLvujHj4CG9AZPsNk
